1 , 1069
2 , 151
3 , 30
4 , 13
5 , 4
6 , 11
7 , 6
8 , 8
9 , 5
10 , 8
11 , 3
12 , 5
14 , 2
18 , 1
19 , 1
20 , 1
21 , 2
31 , 1
42 , 2
46 , 2
48 , 1
51 , 4
56 , 1
58 , 1
61 , 1
93 , 1
